,Profile,Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Position,Instagram,Twitter
0,Profile,Taeyeon,Kim Taeyeon,김태연,태연,1989-03-09,SNSD,South Korea,,160,44,Jeonju,"TTS, Oh!GG",,F,"Leader, Main Vocalist",taeyeon_ss,
1,,Sunny,Lee Sunkyu,이순규,써니,1989-05-15,SNSD,South Korea,,158,43,California,,,F,,svnnynight,
2,,Tiffany,Hwang Miyoung,황미영,티파니,1989-08-01,SNSD,South Korea,USA,163,50,San Francisco,TTS,,F,,xolovestephi,
3,,Hyoyeon,Kim Hyoyeon,김효연,효연,1989-09-22,SNSD,South Korea,,158,48,Incheon,,,F,,watasiwahyo,
4,,Yuri,Kwon Yuri,권유리,유리,1989-12-05,SNSD,South Korea,,167,45,Goyang,,,F,,yulyulk,
5,,Sooyoung,Choi Sooyoung,최수영,수영,1990-02-10,SNSD,South Korea,,170,48,Gwangju,,,F,,hotsootuff,
6,,Yoona,Im Yoona,임윤아,윤아,1990-05-30,SNSD,South Korea,,166,47,Seoul,,,F,,yoona__lim,
7,,Seohyun,Seo Joohyun,서주현,서현,1991-06-28,SNSD,South Korea,,168,48,Seoul,TTS,,F,,seojuhyun_s,
8,,Jessica,Jessica Jung,제시카 정,제시카,1989-04-18,,South Korea,,0,0,,,SNSD,F,,jessica.syj,
9,,CL,Lee Chaerin,이채린,씨엘,1991-02-26,2NE1,South Korea,,0,0,,,,F,,chaelincl,
10,,Bom,Park Bom,박봄,봄,1984-03-24,2NE1,South Korea,,0,0,,,,F,,haroobommi,
11,,Dara,Park Sandara,박산다라,다라,1984-11-12,2NE1,South Korea,,0,0,,,,F,,daraxxi,
12,,Minzy,Kong Minji,공민지,민지,1994-01-18,2NE1,South Korea,,0,0,,,,F,,,
13,,Hyorin,Kim Hyojung,김효정,효린,1990-12-11,SISTAR,South Korea,,0,0,,SISTAR19,,F,,xhyolynx,
14,,Bora,Yoon Bora,윤보라,보라,1989-12-30,SISTAR,South Korea,,0,0,,SISTAR19,,F,,borabora_sugar,
15,,Soyou,Kang Jihyun,강지현,소유,1992-02-12,SISTAR,South Korea,,0,0,,,,F,,soooo_you,
16,,Dasom,Kim Dasom,김다솜,다솜,1993-05-06,SISTAR,South Korea,,0,0,,,,F,,som0506,
17,,Jihyun,Nam Jihyun,남지현,지현,1990-01-09,4minute,South Korea,,167,0,Seoul,,,F,,njh9019,
18,,Gayoon,Heo Gayoon,허가윤,가윤,1990-05-18,4minute,South Korea,,165,0,Seoul,2YOON,,F,,gayoon_heo,
19,,Jiyoon,Jeon Jiyoon,전지윤,지윤,1990-10-15,4minute,South Korea,,165,0,Seoul,2YOON,,F,,jenyerjiyoon,
20,,Hyuna,Kim Hyuna,김현아,현아,1992-06-06,4minute,South Korea,,164,0,Jeolla,,Wonder Girls,F,,hyunah_aa,
21,,Sohyun,Kwon Sohyun,권소현,소현,1994-08-30,4minute,South Korea,,162,0,Seoul,,,F,,kkwonsso_94,
22,Profile,Jimin,Shin Jimin,신지민,지민,1991-01-08,,South Korea,,160,43,Seoul,AOA BLACK,AoA,F,,jiminbaby_18,
23,Profile,Choa,Park Choa,박초아,초아,1990-03-06,,South Korea,,160,42,Incheon,,"AoA, AOA BLACK",F,,queenchoa_,
24,Profile,Yuna,Seo Yuna,서유나,유나,1992-12-30,AoA,South Korea,,163,45,Busan,AOA BLACK,,F,,yn_s_1230,
25,,Yookyung,Seo Yookyung,서유경,유경,1993-03-15,,South Korea,,167,48,,,AOA BLACK,F,,,
26,Profile,Hyejeong,Shin Hyejeong,신혜정,혜정,1993-08-10,AoA,South Korea,,170,48,Seoul,,,F,,dongdong810,
27,Profile,Mina,Kwon Mina,권민아,민아,1993-09-21,,South Korea,,159,43,Busan,,"AOA, AOA BLACK",F,,kvwowv,
28,Profile,Seolhyun,Kim Seolhyun,김설현,설현,1995-01-03,AoA,South Korea,,167,47,Bucheon,,,F,,sh_9513,
29,Profile,Chanmi,Kim Chanmi,김찬미,찬미,1996-06-19,AoA,South Korea,,166,47,Gumi,,,F,,chanmi_96a,
30,Profile,Sojin,Park Sojin,박소진,소진,1986-05-21,Girl's Day,South Korea,,167,47,Daegu,,,F,,ssozi_sojin,
31,Profile,Yura,Kim Ahyoung,김아영,유라,1992-11-06,Girl's Day,South Korea,,168,49,Ulsan,,,F,,yura_936,
32,Profile,Minah,Bang Minah,방민아,민아,1993-05-13,Girl's Day,South Korea,,165,47,Incheon,,,F,,bbang_93,
